year,century,MinTemp,MaxTemp,Random
1985,20th,8.66,8.69,0.302906788
1986,20th,8.84,8.87,0.34534581
1987,20th,9.01,9.09,0.839400978
1988,20th,9.21,9.30,0.960686778
1989,20th,8.93,9.00,0.801642436
1990,20th,9.25,9.33,0.876868858
1991,20th,9.19,9.20,0.143367279
1992,20th,8.84,8.85,0.130781191
1993,20th,8.87,8.91,0.474434003
1994,20th,9.04,9.12,0.832466448
1995,20th,9.36,9.40,0.479318666
1996,20th,9.04,9.13,0.951634608
1997,20th,9.21,9.22,0.055821573
1998,20th,9.53,9.54,0.08247558
1999,20th,9.29,9.36,0.738016124
2000,21st,9.2,9.22,0.201055496
2001,21st,9.41,9.43,0.18992916
2002,21st,9.56,9.63,0.754673793
2003,21st,9.52,9.58,0.599866986
2004,21st,9.32,9.35,0.280369065
2005,21st,9.7,9.79,0.960921435
2006,21st,9.52,9.54,0.225062979
2007,21st,9.73,9.77,0.44752754
2008,21st,9.42,9.49,0.754407618
2009,21st,9.49,9.54,0.537503947
2010,21st,9.7,9.75,0.559127774
2011,21st,9.51,9.53,0.168985713
2012,21st,9.5,9.50,0.014994187
2013,21st,9.6,9.62,0.239984896
2014,21st,9.56,9.61,0.568326186
2015,21st,9.82,9.91,0.896027011
2016,21st,10.02,10.11,0.916743212
